bioproject_accession,bioproject_title,project_type,sample_accession,organism,experiment_accession,platform,run_accession,spots,bases
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908580,Zaire ebolavirus,SRX994116,ILLUMINA,SRR1972839,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908508,Zaire ebolavirus,SRX994205,ILLUMINA,SRR1972928,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908765,Zaire ebolavirus,SRX993905,ILLUMINA,SRR1972628,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS694098,Unidentified virus,SRX691929,ILLUMINA,SRR1564816,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908775,Zaire ebolavirus,SRX993891,ILLUMINA,SRR1972614,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908498,Zaire ebolavirus,SRX994215,ILLUMINA,SRR1972938,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908781,Zaire ebolavirus,SRX993883,ILLUMINA,SRR1972606,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803927,Zaire ebolavirus,SRX994141,ILLUMINA,SRR1972864,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803927,Zaire ebolavirus,SRX824309,ILLUMINA,SRR1735146,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908694,Zaire ebolavirus,SRX993978,ILLUMINA,SRR1972701,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908729,Zaire ebolavirus,SRX993943,ILLUMINA,SRR1972666,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803833,Zaire ebolavirus,SRX994140,ILLUMINA,SRR1972863,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803833,Zaire ebolavirus,SRX824216,ILLUMINA,SRR1735053,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908538,Zaire ebolavirus,SRX994174,ILLUMINA,SRR1972897,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908752,Zaire ebolavirus,SRX993919,ILLUMINA,SRR1972642,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS804018,Zaire ebolavirus,SRX824401,ILLUMINA,SRR1735238,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS694112,Unidentified virus,SRX691943,ILLUMINA,SRR1564830,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803926,Zaire ebolavirus,SRX824310,ILLUMINA,SRR1735147,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803920,Zaire ebolavirus,SRX993903,ILLUMINA,SRR1972626,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803920,Zaire ebolavirus,SRX824303,ILLUMINA,SRR1735140,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908757,Zaire ebolavirus,SRX993913,ILLUMINA,SRR1972636,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803775,Zaire ebolavirus,SRX824158,ILLUMINA,SRR1734995,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908746,Zaire ebolavirus,SRX993927,ILLUMINA,SRR1972650,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS804019,Zaire ebolavirus,SRX994173,ILLUMINA,SRR1972896,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS804019,Zaire ebolavirus,SRX824402,ILLUMINA,SRR1735239,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803803,Zaire ebolavirus,SRX994232,ILLUMINA,SRR1972955,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803803,Zaire ebolavirus,SRX824186,ILLUMINA,SRR1735023,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908737,Zaire ebolavirus,SRX993935,ILLUMINA,SRR1972658,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803817,Zaire ebolavirus,SRX824200,ILLUMINA,SRR1735037,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS804026,Zaire ebolavirus,SRX824410,ILLUMINA,SRR1735247,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS722187,Zaire ebolavirus,SRX733663,ILLUMINA,SRR1613384,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS722187,Zaire ebolavirus,SRX733659,ILLUMINA,SRR1613380,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908579,Zaire ebolavirus,SRX994117,ILLUMINA,SRR1972840,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803876,Zaire ebolavirus,SRX824259,ILLUMINA,SRR1735096,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS804033,Zaire ebolavirus,SRX824418,ILLUMINA,SRR1735255,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677920,Zaire ebolavirus,SRX674176,ILLUMINA,SRR1553513,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677920,Zaire ebolavirus,SRX674175,ILLUMINA,SRR1553514,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677946,Zaire ebolavirus,SRX674228,ILLUMINA,SRR1553565,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677946,Zaire ebolavirus,SRX674227,ILLUMINA,SRR1553566,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908505,Zaire ebolavirus,SRX994208,ILLUMINA,SRR1972931,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908759,Zaire ebolavirus,SRX993911,ILLUMINA,SRR1972634,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908739,Zaire ebolavirus,SRX993933,ILLUMINA,SRR1972656,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677873,Zaire ebolavirus,SRX674082,ILLUMINA,SRR1553420,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803791,Zaire ebolavirus,SRX824174,ILLUMINA,SRR1735011,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803871,Zaire ebolavirus,SRX994099,ILLUMINA,SRR1972822,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803871,Zaire ebolavirus,SRX824253,ILLUMINA,SRR1735090,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677912,Zaire ebolavirus,SRX674160,ILLUMINA,SRR1553497,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677912,Zaire ebolavirus,SRX674159,ILLUMINA,SRR1553498,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS804028,Zaire ebolavirus,SRX824411,ILLUMINA,SRR1735248,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803816,Zaire ebolavirus,SRX994093,ILLUMINA,SRR1972816,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803816,Zaire ebolavirus,SRX824199,ILLUMINA,SRR1735036,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803978,Zaire ebolavirus,SRX994234,ILLUMINA,SRR1972957,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803978,Zaire ebolavirus,SRX824361,ILLUMINA,SRR1735198,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908518,Zaire ebolavirus,SRX994195,ILLUMINA,SRR1972918,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS694094,Unidentified virus,SRX691925,ILLUMINA,SRR1564812,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908528,Zaire ebolavirus,SRX994185,ILLUMINA,SRR1972908,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908755,Zaire ebolavirus,SRX993916,ILLUMINA,SRR1972639,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803840,Zaire ebolavirus,SRX994220,ILLUMINA,SRR1972943,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803840,Zaire ebolavirus,SRX824222,ILLUMINA,SRR1735059,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908750,Zaire ebolavirus,SRX993922,ILLUMINA,SRR1972645,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908566,Zaire ebolavirus,SRX994143,ILLUMINA,SRR1972866,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908502,Zaire ebolavirus,SRX994211,ILLUMINA,SRR1972934,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803863,Zaire ebolavirus,SRX824246,ILLUMINA,SRR1735083,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908749,Zaire ebolavirus,SRX993923,ILLUMINA,SRR1972646,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS804006,Zaire ebolavirus,SRX824390,ILLUMINA,SRR1735227,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803886,Zaire ebolavirus,SRX994178,ILLUMINA,SRR1972901,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803886,Zaire ebolavirus,SRX824270,ILLUMINA,SRR1735107,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS804032,Zaire ebolavirus,SRX824415,ILLUMINA,SRR1735252,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803950,Zaire ebolavirus,SRX994082,ILLUMINA,SRR1972805,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803950,Zaire ebolavirus,SRX824333,ILLUMINA,SRR1735170,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908500,Zaire ebolavirus,SRX994213,ILLUMINA,SRR1972936,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803910,Zaire ebolavirus,SRX824293,ILLUMINA,SRR1735130,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908662,Zaire ebolavirus,SRX994010,ILLUMINA,SRR1972733,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908587,Zaire ebolavirus,SRX994091,ILLUMINA,SRR1972814,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677911,Zaire ebolavirus,SRX674158,ILLUMINA,SRR1553495,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677911,Zaire ebolavirus,SRX674157,ILLUMINA,SRR1553496,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677885,Zaire ebolavirus,SRX674106,ILLUMINA,SRR1553443,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677885,Zaire ebolavirus,SRX674105,ILLUMINA,SRR1553444,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803851,Zaire ebolavirus,SRX994177,ILLUMINA,SRR1972900,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803851,Zaire ebolavirus,SRX824234,ILLUMINA,SRR1735071,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908670,Zaire ebolavirus,SRX994002,ILLUMINA,SRR1972725,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908635,Zaire ebolavirus,SRX994037,ILLUMINA,SRR1972760,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677884,Zaire ebolavirus,SRX674104,ILLUMINA,SRR1553441,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677884,Zaire ebolavirus,SRX674103,ILLUMINA,SRR1553442,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803848,Zaire ebolavirus,SRX824231,ILLUMINA,SRR1735068,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908486,Zaire ebolavirus,SRX994230,ILLUMINA,SRR1972953,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908743,Zaire ebolavirus,SRX993929,ILLUMINA,SRR1972652,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677951,Zaire ebolavirus,SRX674238,ILLUMINA,SRR1553575,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677951,Zaire ebolavirus,SRX674237,ILLUMINA,SRR1553576,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803874,Zaire ebolavirus,SRX824258,ILLUMINA,SRR1735095,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908564,Zaire ebolavirus,SRX994146,ILLUMINA,SRR1972869,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908509,Zaire ebolavirus,SRX994204,ILLUMINA,SRR1972927,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908668,Zaire ebolavirus,SRX994004,ILLUMINA,SRR1972727,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908614,Zaire ebolavirus,SRX994052,ILLUMINA,SRR1972775,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS908532,Zaire ebolavirus,SRX994181,ILLUMINA,SRR1972904,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803905,Zaire ebolavirus,SRX824287,ILLUMINA,SRR1735124,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803850,Zaire ebolavirus,SRX824232,ILLUMINA,SRR1735069,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803907,Zaire ebolavirus,SRX994163,ILLUMINA,SRR1972886,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803907,Zaire ebolavirus,SRX824290,ILLUMINA,SRR1735127,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS803948,Zaire ebolavirus,SRX824331,ILLUMINA,SRR1735168,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677945,Zaire ebolavirus,SRX674226,ILLUMINA,SRR1553563,,
PRJNA257197,Zaire ebolavirus Genome sequencing,Other,SRS677945,Zaire ebolavirus,SRX674225,ILLUMINA,SRR1553564,,
